data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5544204,368,IRQ20590,20590,"27 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,1,"Al Mirbad",National,"On June 27, the Dhi Qar Electricity Distribution Branch organized a protest in the building of the department in refusal of the reduction of risk allocations for electricity employees, which the parliament intends to vote on within the civil service law. [size=not reported]",0,1562020013,IRQ
5544189,368,IRQ20575,20575,"25 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"Al Mirbad",National,"On June 25, tens of Basrah residents protested near the local government building in the center of the city, in response to the spread of unemployment, while the protesters, the protest took place amid tight security. [size=tens]",0,1562020013,IRQ
5544173,368,IRQ20559,20559,"23 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Najaf,Najaf,,Najaf,32.0259,44.3462,3,Yaqein,National,"On June 23, tens of Najaf province residents demanded the provision of services such as electricity and water and the implementation of the highway as promised. [size=tens]",0,1562020013,IRQ
5234829,368,IRQ20527,20527,"22 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,3,"National Iraqi News Agency",National,"On June 22, dozens of citizens of Basrah province protested and renewed their demands for improved services and job opportunities for unemployed youth. [size=dozens]",0,1561412843,IRQ
5234818,368,IRQ20516,20516,"21 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Missan,Amara,,Amara,31.8356,47.1448,2,"All Iraq News Agency",National,"On June 21, popular protests in Missan province erupted demanding the provision of services and jobs and the solution of the electricity crisis, several roads were blocked amid the spread of security forces and riot control. [size=not reported]",0,1561412843,IRQ
5234819,368,IRQ20517,20517,"21 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,1,"All Iraq News Agency",National,"On June 21, popular protests in Baghdad erupted demanding the provision of services and jobs and the solution of the electricity crisis. [size=not reported]",0,1561412843,IRQ
5234820,368,IRQ20518,20518,"21 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Sadrist Movement",6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,2,"All Iraq News Agency; Iraq News Gazette",National,"On June 21, dozens of followers of the Sadrist movement protested in Basra on Friday demanding reform and stressed the importance of holding accountable the officials accused of corruption, they also called for the provision of services and jobs and the solution of the electricity crisis. [size=dozens]",0,1561412843,IRQ
5234821,368,IRQ20519,20519,"21 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Kerbala,Kerbala,,Kerbala,32.5979,44.0165,1,"All Iraq News Agency",National,"On June 21, popular protests in Kerbala erupted demanding the provision of services and jobs and the solution of the electricity crisis. [size=not reported]",0,1561412843,IRQ
5234822,368,IRQ20520,20520,"21 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Wassit,Kut,,Kut,32.5056,45.8247,2,"All Iraq News Agency",National,"On June 21, popular protests in Wassit erupted demanding the provision of services and jobs and the solution of the electricity crisis. [size=not reported]",0,1561412843,IRQ
5234823,368,IRQ20521,20521,"21 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Muthanna,"As Samawah",,"As Samawah",31.3059,45.2799,2,"All Iraq News Agency",National,"On June 21, popular protests in al-Muthanna erupted demanding the provision of services and jobs and the solution of the electricity crisis. [size=not reported]",0,1561412843,IRQ
